public_date,gicdesc,NFIRM,indret_ew,indret_vw,PEG_1yrforward_Median,CAPEI_Median,bm_Median,PEG_ltgforward_Median,evm_Median,pe_op_basic_Median,pe_op_dil_Median,pe_exi_Median,pe_inc_Median,ps_Median,pcf_Median,dpr_Median,ptb_Median,PEG_trailing_Median,divyield_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2011-12-31,Consumer Staples,160,0.002553,0.025048,0.765,16.693,0.573,1.583,8.726,14.568,14.787,14.815,14.313,0.773,8.318,0.194,1.717,0.665,2.46%,0.338,0.393,0.118,0.118,0.091,0.345,0.038,0.074,0.109,0.162,0.222,0.058,0.139,0.140,0.112,0.224,0.758,0.223,0.345,0.353,0.288,0.581,0.434,0.168,0.116,0.077,0.117,0.700,0.447,1.531,0.265,0.068,0.055,0.344,2.156,0.858,0.508,0.209,0.383,5.028,7.397,56.911,0.325,1.835,1.078,1.330,5.819,10.866,11.268,2.791,1.823,7.220,-0.036,0.000,0.008,0.000
2011-12-31,Energy,218,-0.011745,-0.004954,0.088,11.694,0.869,0.941,7.222,12.000,12.391,11.197,10.505,2.185,5.314,0.000,1.464,0.137,1.39%,0.346,0.181,0.078,0.081,0.070,0.457,0.062,0.129,0.268,0.075,0.082,0.103,0.135,0.090,0.066,0.279,0.699,0.277,0.308,0.065,0.404,-0.201,0.784,0.177,0.128,0.207,0.033,1.043,0.290,1.281,0.319,0.079,0.072,0.419,0.759,0.997,0.503,0.216,0.374,2.781,2.863,41.696,0.425,1.461,1.251,0.411,14.351,5.224,6.453,0.887,0.553,4.959,-0.086,0.000,0.000,0.000
2011-12-31,Financials,720,0.013806,0.015611,0.091,12.200,1.301,1.241,9.782,11.364,11.500,11.571,11.633,1.434,4.754,0.341,0.840,0.289,2.66%,0.293,0.037,0.055,0.055,0.000,0.623,0.087,0.266,0.305,0.221,0.439,0.125,0.019,0.078,0.058,0.301,0.659,0.300,0.481,0.000,0.198,0.939,0.553,0.018,0.077,0.131,0.210,0.713,0.521,3.523,0.448,0.063,0.054,0.066,56.528,7.696,0.885,0.093,0.883,3.751,5.183,181.688,1.069,2.203,2.077,0.056,2.227,0.029,0.093,0.595,0.377,2.971,-0.013,0.000,0.007,0.249
2011-12-31,Health Care,534,-0.006021,0.024886,-0.063,-1.413,0.410,1.081,5.768,-1.239,-1.239,-1.191,-1.223,2.549,3.374,0.000,2.391,0.256,1.89%,0.318,0.268,0.013,0.005,0.000,0.382,0.003,0.030,0.057,0.029,0.054,0.000,0.056,0.045,-0.017,0.037,0.936,0.037,0.105,0.042,0.171,0.763,0.115,0.071,0.987,0.031,0.179,0.216,0.606,0.000,0.034,0.082,0.067,0.073,4.857,0.552,0.388,0.070,0.175,1.384,2.364,78.788,1.790,3.206,2.711,0.657,3.502,9.935,6.673,1.083,0.872,1.722,-0.054,0.098,0.000,0.000
2011-12-31,Industrials,527,-0.001323,0.009698,0.291,16.372,0.764,1.144,8.388,13.663,13.865,14.007,13.687,0.694,9.401,0.023,1.485,0.521,1.82%,0.331,0.280,0.097,0.097,0.087,0.281,0.038,0.070,0.105,0.120,0.183,0.057,0.120,0.124,0.093,0.233,0.759,0.234,0.287,0.238,0.395,0.582,0.300,0.134,0.170,0.076,0.107,0.549,0.498,1.285,0.275,0.073,0.060,0.286,2.783,0.985,0.508,0.182,0.366,4.763,6.742,71.651,0.390,1.974,1.484,1.073,5.759,10.192,6.462,2.253,1.644,4.587,-0.029,0.000,0.000,0.000
2011-12-31,Information Technology,673,-0.006137,-0.012077,-0.057,12.008,0.609,1.109,10.149,12.386,12.577,11.350,11.156,1.445,9.574,0.000,1.847,0.287,2.08%,0.249,0.405,0.077,0.074,0.043,0.496,0.043,0.073,0.122,0.094,0.144,0.054,0.107,0.096,0.071,0.007,0.981,0.007,0.049,0.077,0.255,0.739,0.356,0.224,0.836,0.099,0.237,0.437,0.777,0.030,0.006,0.086,0.065,0.018,4.668,0.529,0.349,0.035,0.160,4.747,7.536,70.323,1.224,2.503,2.187,0.855,4.338,7.978,6.252,1.329,1.161,2.443,-0.052,0.099,0.000,0.000
2011-12-31,Materials,187,-0.030745,-0.024942,0.209,15.796,0.743,1.034,7.305,11.059,11.387,11.393,11.059,0.820,8.862,0.123,1.516,0.306,1.74%,0.286,0.247,0.119,0.124,0.106,0.261,0.053,0.088,0.132,0.124,0.160,0.074,0.137,0.136,0.120,0.275,0.708,0.265,0.324,0.320,0.346,0.439,0.363,0.143,0.169,0.097,0.084,0.725,0.352,1.614,0.336,0.073,0.061,0.361,1.432,0.988,0.502,0.217,0.404,5.224,6.574,74.469,0.485,2.382,1.563,0.985,5.893,9.472,7.184,2.169,1.428,4.214,-0.021,0.002,0.000,0.000
2011-12-31,Utilities,96,0.027884,0.032189,0.930,19.501,0.934,3.012,8.408,16.009,16.029,16.060,15.686,1.339,6.513,0.634,1.157,1.679,3.84%,0.361,0.089,0.093,0.093,0.068,0.264,0.077,0.166,0.258,0.073,0.085,0.117,0.090,0.096,0.072,0.505,0.489,0.494,0.556,0.182,0.362,0.134,0.640,0.097,0.023,0.175,0.098,0.782,0.164,3.690,0.731,0.064,0.057,0.448,0.986,2.270,0.692,0.334,0.555,2.419,3.107,30.421,0.139,1.083,0.877,0.342,12.082,8.840,9.071,1.147,0.563,10.979,-0.049,0.000,0.000,0.000
2012-01-31,Communication Services,46,0.032710,-0.018939,-0.663,11.607,0.796,1.879,6.518,14.278,14.416,14.134,14.710,0.960,4.227,0.259,1.434,0.357,5.98%,0.335,0.295,0.058,0.058,0.056,0.583,0.042,0.123,0.264,0.089,0.104,0.061,0.146,0.079,0.053,0.549,0.404,0.511,0.573,0.040,0.326,0.327,1.058,0.176,0.113,0.201,0.046,1.221,0.220,2.589,0.809,0.080,0.071,0.570,1.527,1.617,0.629,0.395,0.600,1.667,1.977,20.642,0.654,1.366,1.291,0.547,20.872,7.396,10.277,1.868,0.747,7.853,-0.105,0.000,0.011,0.000
2012-01-31,Consumer Discretionary,560,0.089329,0.068768,0.205,12.714,0.670,1.102,7.937,13.220,13.277,12.841,12.699,0.708,7.100,0.000,1.684,0.358,2.10%,0.343,0.424,0.106,0.106,0.089,0.371,0.039,0.072,0.108,0.129,0.197,0.054,0.126,0.125,0.099,0.235,0.729,0.235,0.323,0.269,0.224,0.616,0.466,0.165,0.198,0.077,0.075,0.637,0.551,1.135,0.282,0.081,0.069,0.268,2.517,0.978,0.540,0.192,0.409,3.694,4.937,62.168,0.492,1.803,1.155,1.356,5.077,9.727,13.124,2.648,2.003,5.796,-0.051,0.000,0.013,0.000
2012-01-31,Consumer Staples,159,0.049806,-0.009103,0.788,16.517,0.573,1.673,8.695,14.889,14.914,15.323,15.262,0.844,8.431,0.192,1.746,0.660,2.60%,0.339,0.393,0.118,0.118,0.092,0.344,0.038,0.074,0.110,0.162,0.223,0.058,0.142,0.140,0.114,0.226,0.754,0.225,0.347,0.354,0.285,0.578,0.427,0.166,0.116,0.076,0.115,0.699,0.444,1.538,0.267,0.068,0.055,0.342,2.183,0.868,0.509,0.211,0.381,5.287,7.517,56.911,0.323,1.830,1.077,1.341,5.795,10.900,11.622,2.814,1.863,7.312,-0.037,0.000,0.008,0.000
2012-01-31,Energy,219,0.057612,0.014016,0.093,11.853,0.869,0.967,7.222,12.546,12.999,11.313,10.420,2.201,5.472,0.000,1.499,0.141,1.36%,0.346,0.181,0.078,0.081,0.070,0.457,0.062,0.129,0.265,0.075,0.084,0.103,0.135,0.092,0.065,0.279,0.699,0.277,0.299,0.064,0.404,-0.204,0.795,0.177,0.129,0.202,0.033,1.043,0.290,1.281,0.319,0.079,0.072,0.419,0.759,0.985,0.503,0.215,0.374,2.786,2.882,41.696,0.426,1.492,1.263,0.411,14.594,5.173,6.284,0.887,0.552,4.865,-0.086,0.000,0.000,0.000
2012-01-31,Financials,711,0.077296,0.081098,0.086,12.701,1.308,1.396,9.754,12.014,12.100,12.270,12.270,1.516,5.189,0.344,0.868,0.311,2.49%,0.293,0.037,0.054,0.054,0.000,0.625,0.087,0.266,0.306,0.217,0.397,0.125,0.019,0.079,0.057,0.301,0.661,0.300,0.481,0.000,0.188,0.938,0.559,0.018,0.077,0.131,0.212,0.716,0.519,3.520,0.448,0.063,0.054,0.065,56.327,7.645,0.884,0.093,0.883,3.781,4.905,168.494,1.132,2.205,2.083,0.056,2.185,0.029,0.093,0.595,0.376,2.971,-0.012,0.000,0.007,0.250
2012-01-31,Health Care,535,0.111884,0.042810,-0.075,-1.633,0.409,1.134,5.814,-1.692,-1.692,-1.647,-1.647,2.771,3.533,0.000,2.581,0.271,1.78%,0.316,0.267,0.016,0.005,0.000,0.382,0.003,0.030,0.056,0.029,0.047,-0.003,0.056,0.047,-0.017,0.037,0.936,0.036,0.106,0.042,0.172,0.761,0.111,0.071,0.981,0.031,0.179,0.211,0.606,0.000,0.032,0.082,0.066,0.073,4.810,0.565,0.393,0.072,0.181,1.380,2.280,78.788,1.771,3.194,2.675,0.656,3.475,9.934,6.667,1.083,0.872,1.705,-0.054,0.097,0.000,0.000
2012-01-31,Industrials,530,0.099785,0.074899,0.298,17.983,0.759,1.257,8.388,14.695,14.917,14.902,14.700,0.769,10.081,0.023,1.568,0.544,1.67%,0.331,0.280,0.100,0.100,0.088,0.282,0.038,0.071,0.106,0.120,0.184,0.057,0.120,0.125,0.094,0.239,0.754,0.240,0.292,0.241,0.396,0.582,0.312,0.136,0.166,0.077,0.105,0.555,0.490,1.306,0.278,0.072,0.060,0.288,2.813,0.987,0.509,0.191,0.367,4.814,6.968,72.276,0.381,1.974,1.467,1.075,5.759,10.192,6.423,2.253,1.644,4.641,-0.029,0.000,0.000,0.000
2012-01-31,Information Technology,671,0.117825,0.079666,-0.063,13.157,0.605,1.240,10.118,13.796,13.989,12.345,12.005,1.625,10.571,0.000,2.089,0.315,1.94%,0.250,0.406,0.078,0.075,0.044,0.502,0.043,0.075,0.122,0.095,0.145,0.055,0.107,0.097,0.071,0.006,0.979,0.007,0.050,0.076,0.253,0.740,0.357,0.225,0.836,0.099,0.236,0.440,0.774,0.029,0.006,0.085,0.065,0.018,4.668,0.529,0.351,0.035,0.159,4.747,7.453,70.923,1.219,2.503,2.160,0.857,4.334,7.968,6.252,1.330,1.164,2.462,-0.053,0.100,0.000,0.000
2012-01-31,Materials,187,0.141092,0.115692,0.271,17.584,0.743,1.195,7.288,12.198,12.637,13.025,12.423,0.909,9.932,0.126,1.706,0.321,1.62%,0.290,0.247,0.119,0.121,0.105,0.261,0.053,0.089,0.132,0.124,0.160,0.074,0.139,0.137,0.116,0.280,0.706,0.266,0.324,0.320,0.346,0.435,0.360,0.144,0.166,0.094,0.082,0.728,0.352,1.609,0.340,0.072,0.060,0.356,1.415,0.988,0.502,0.219,0.404,5.224,6.574,74.469,0.485,2.382,1.563,0.985,5.859,9.585,7.227,2.183,1.428,4.214,-0.021,0.002,0.000,0.000
2012-01-31,Utilities,95,-0.014343,-0.034873,1.016,18.757,0.936,3.022,8.391,15.393,15.457,15.574,15.192,1.317,6.232,0.632,1.155,1.665,3.94%,0.361,0.089,0.093,0.095,0.068,0.263,0.076,0.165,0.256,0.073,0.086,0.115,0.090,0.096,0.072,0.504,0.490,0.494,0.557,0.185,0.359,0.132,0.638,0.097,0.023,0.174,0.098,0.776,0.164,3.683,0.726,0.064,0.057,0.448,0.987,2.278,0.693,0.337,0.555,2.421,3.102,30.411,0.137,1.065,0.876,0.343,11.829,8.833,9.091,1.148,0.564,11.008,-0.049,0.000,0.000,0.000
