public_date,gicdesc,NFIRM,indret_ew,indret_vw,dpr_Median,PEG_trailing_Median,bm_Median,CAPEI_Median,divyield_Median,evm_Median,pcf_Median,pe_exi_Median,pe_inc_Median,pe_op_basic_Median,pe_op_dil_Median,ps_Median,ptb_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2010-02-28,Communication Services,52,0.013292,-0.004958,0.271,0.109,0.491,7.299,6.91%,6.660,3.883,4.704,6.763,8.202,8.284,1.190,1.999,0.356,0.281,0.027,0.008,0.065,0.584,0.006,0.094,0.251,0.065,0.109,0.013,0.137,0.062,0.026,0.522,0.473,0.483,0.490,0.033,0.297,0.400,0.899,0.141,0.121,0.200,0.036,1.151,0.220,3.043,0.819,0.076,0.076,0.557,1.565,1.413,0.629,0.391,0.561,1.319,1.319,24.890,0.600,1.545,1.432,0.520,18.482,7.761,9.714,1.566,0.688,5.735,-0.108,0.000,0.002,0.000
2010-02-28,Consumer Discretionary,604,0.059640,0.058446,0.000,0.252,0.654,11.719,2.00%,7.777,6.394,11.508,11.420,12.722,12.958,0.646,1.645,0.360,0.398,0.052,0.051,0.051,0.350,0.017,0.055,0.097,0.093,0.139,0.026,0.106,0.091,0.050,0.258,0.725,0.257,0.347,0.243,0.233,0.731,0.523,0.179,0.182,0.057,0.077,0.540,0.523,1.196,0.277,0.079,0.066,0.299,2.267,0.986,0.536,0.214,0.416,1.747,2.706,68.455,0.463,1.770,1.136,1.248,5.166,10.221,10.673,2.678,1.851,5.150,-0.095,0.000,0.014,0.000
2010-02-28,Consumer Staples,174,0.041680,0.028767,0.149,0.892,0.531,17.374,2.35%,7.887,8.136,14.005,14.057,14.321,14.387,0.837,1.926,0.348,0.401,0.138,0.138,0.113,0.348,0.043,0.076,0.108,0.161,0.256,0.060,0.145,0.166,0.131,0.244,0.728,0.243,0.348,0.338,0.265,0.706,0.572,0.176,0.144,0.072,0.110,0.707,0.454,1.382,0.304,0.074,0.062,0.365,2.073,0.981,0.511,0.235,0.392,5.393,7.996,54.945,0.353,1.817,1.132,1.368,6.473,10.919,11.718,3.095,1.994,7.251,-0.061,0.000,0.006,0.000
2010-02-28,Energy,226,0.043262,0.029762,0.000,0.075,0.702,9.396,1.14%,7.715,5.573,-1.449,-1.449,-1.337,-1.337,1.833,1.468,0.324,0.123,-0.023,-0.024,0.000,0.289,-0.037,0.005,0.152,0.001,0.003,-0.047,0.079,0.002,-0.025,0.282,0.694,0.284,0.312,0.066,0.391,0.063,0.775,0.185,0.097,0.114,0.022,0.645,0.270,1.091,0.333,0.075,0.069,0.405,0.760,0.883,0.515,0.226,0.384,-0.016,0.110,54.339,0.364,1.546,1.232,0.346,13.761,6.415,5.063,0.795,0.482,4.099,-0.117,0.000,0.000,0.000
2010-02-28,Financials,779,0.021980,0.033850,0.364,0.372,1.217,10.855,2.54%,10.569,6.165,7.814,7.823,8.610,8.647,1.155,0.845,0.297,0.030,0.023,0.027,0.000,0.401,0.039,0.153,0.188,0.140,0.277,0.054,0.014,0.047,0.028,0.373,0.570,0.371,0.626,0.000,0.253,0.899,0.448,0.011,0.067,0.075,0.295,0.497,0.475,3.510,0.614,0.066,0.053,0.080,56.730,8.464,0.895,0.119,0.894,3.019,4.124,264.089,0.858,2.060,1.854,0.061,5.137,0.060,0.093,0.687,0.391,2.748,-0.009,0.000,0.005,0.233
2010-02-28,Health Care,594,0.024094,0.007212,0.000,0.173,0.402,-2.046,1.78%,5.746,4.759,-0.786,-0.663,2.984,3.076,2.298,2.487,0.331,0.287,0.014,0.008,0.001,0.431,0.004,0.035,0.066,0.029,0.052,0.011,0.068,0.040,0.005,0.020,0.952,0.028,0.103,0.042,0.195,0.805,0.215,0.080,0.801,0.037,0.193,0.250,0.638,0.000,0.023,0.086,0.067,0.056,4.554,0.559,0.397,0.066,0.179,1.670,2.956,88.506,1.461,2.705,2.373,0.694,3.471,10.362,6.472,1.194,0.998,2.000,-0.069,0.092,0.000,0.000
2010-02-28,Industrials,571,0.039951,0.049496,0.000,0.349,0.655,14.379,1.79%,8.964,6.957,11.728,11.751,13.842,13.897,0.745,1.551,0.334,0.273,0.052,0.052,0.053,0.281,0.022,0.056,0.094,0.087,0.128,0.031,0.101,0.086,0.046,0.197,0.782,0.202,0.273,0.217,0.367,0.761,0.434,0.171,0.198,0.059,0.114,0.464,0.505,1.349,0.229,0.076,0.064,0.270,2.512,0.921,0.498,0.174,0.354,2.225,3.623,83.198,0.473,2.096,1.540,1.018,5.084,9.871,6.104,2.118,1.544,4.274,-0.074,0.000,0.000,0.000
2010-02-28,Information Technology,702,0.052642,0.044000,0.000,0.077,0.542,13.270,1.81%,10.161,9.392,-0.401,-0.314,9.089,8.926,1.713,1.879,0.287,0.354,0.003,0.003,0.000,0.491,0.000,0.026,0.070,0.033,0.053,0.000,0.066,0.036,0.001,0.002,0.996,0.003,0.027,0.074,0.225,0.821,0.331,0.209,0.904,0.052,0.271,0.250,0.773,0.000,0.003,0.083,0.063,0.006,4.619,0.488,0.345,0.021,0.140,0.671,2.448,81.280,1.388,2.552,2.204,0.764,4.221,7.084,5.787,1.196,1.059,2.140,-0.091,0.112,0.000,0.000
2010-02-28,Materials,187,0.056383,0.057347,0.172,0.274,0.577,14.698,1.69%,8.390,6.428,10.801,10.176,13.410,13.679,0.858,1.634,0.323,0.205,0.071,0.070,0.070,0.258,0.028,0.058,0.115,0.064,0.083,0.044,0.102,0.072,0.061,0.301,0.685,0.300,0.341,0.307,0.324,0.656,0.631,0.186,0.173,0.076,0.077,0.621,0.316,1.830,0.407,0.072,0.065,0.363,1.444,1.154,0.544,0.224,0.396,2.512,2.953,82.824,0.519,2.302,1.510,0.866,5.482,8.849,7.022,2.016,1.255,3.766,-0.075,0.002,0.000,0.000
2010-02-28,Utilities,103,-0.002307,-0.009104,0.618,1.664,0.918,15.067,4.44%,8.729,4.934,13.744,13.744,14.165,14.238,1.120,1.069,0.340,0.089,0.096,0.095,0.071,0.247,0.071,0.152,0.241,0.068,0.083,0.101,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.173,0.415,0.082,0.612,0.105,0.020,0.172,0.103,0.704,0.170,3.998,0.729,0.070,0.059,0.444,1.017,2.344,0.699,0.347,0.565,2.314,2.787,38.479,0.122,1.093,0.840,0.357,11.827,8.068,7.044,1.205,0.579,11.322,-0.050,0.000,0.000,0.000
2010-03-31,Communication Services,52,0.113995,0.057139,0.271,0.175,0.491,7.869,6.62%,6.478,4.497,4.478,6.902,10.059,10.059,1.181,2.060,0.356,0.281,0.027,0.008,0.065,0.584,0.006,0.094,0.251,0.065,0.109,0.013,0.137,0.062,0.026,0.522,0.473,0.483,0.490,0.033,0.297,0.391,0.899,0.141,0.121,0.200,0.036,1.151,0.220,3.043,0.819,0.076,0.076,0.557,1.565,1.413,0.629,0.391,0.561,1.319,1.319,24.890,0.624,1.545,1.439,0.520,18.482,7.761,9.714,1.566,0.688,5.735,-0.108,0.000,0.002,0.000
2010-03-31,Consumer Discretionary,599,0.109864,0.086028,0.000,0.289,0.652,13.052,1.81%,7.828,6.978,13.964,13.892,14.811,15.144,0.700,1.781,0.355,0.404,0.061,0.060,0.058,0.354,0.019,0.057,0.100,0.101,0.148,0.028,0.111,0.094,0.057,0.257,0.732,0.256,0.342,0.241,0.236,0.741,0.526,0.195,0.197,0.059,0.073,0.564,0.521,1.215,0.277,0.079,0.066,0.296,2.308,0.960,0.530,0.211,0.410,1.909,2.893,67.939,0.500,1.799,1.162,1.251,5.233,10.521,10.667,2.571,1.856,5.063,-0.096,0.000,0.014,0.000
2010-03-31,Consumer Staples,170,0.062860,0.041333,0.152,0.900,0.545,18.312,2.36%,7.735,8.185,14.897,14.897,14.425,14.500,0.810,1.921,0.347,0.398,0.137,0.137,0.113,0.344,0.043,0.076,0.108,0.160,0.253,0.060,0.147,0.166,0.130,0.244,0.739,0.243,0.333,0.341,0.264,0.704,0.533,0.176,0.147,0.072,0.113,0.707,0.456,1.360,0.304,0.074,0.062,0.361,2.005,0.957,0.503,0.233,0.389,5.462,8.092,55.736,0.345,1.817,1.103,1.368,6.473,10.974,11.640,3.083,1.994,7.251,-0.061,0.000,0.006,0.000
2010-03-31,Energy,226,0.028398,0.029579,0.000,0.079,0.695,9.089,1.15%,7.654,5.676,-1.242,-1.207,-1.010,-1.010,1.854,1.534,0.324,0.125,-0.023,-0.023,0.000,0.281,-0.035,0.007,0.151,0.003,0.005,-0.045,0.079,0.003,-0.023,0.280,0.694,0.282,0.312,0.065,0.389,0.068,0.766,0.184,0.097,0.114,0.023,0.644,0.271,1.084,0.329,0.075,0.069,0.405,0.763,0.883,0.515,0.226,0.381,0.086,0.243,52.185,0.364,1.546,1.232,0.360,13.761,6.436,5.118,0.824,0.485,4.150,-0.116,0.000,0.000,0.000
2010-03-31,Financials,781,0.065809,0.086838,0.357,0.398,1.211,11.946,2.37%,10.572,6.587,8.554,8.521,9.561,9.690,1.259,0.910,0.297,0.030,0.023,0.028,0.000,0.403,0.040,0.154,0.188,0.143,0.298,0.055,0.014,0.047,0.028,0.370,0.574,0.367,0.622,0.000,0.254,0.899,0.455,0.011,0.067,0.076,0.295,0.511,0.483,3.511,0.595,0.066,0.053,0.079,56.813,8.494,0.895,0.118,0.894,3.030,4.133,264.095,0.834,2.045,1.821,0.061,5.159,0.059,0.093,0.687,0.393,2.792,-0.009,0.000,0.005,0.234
2010-03-31,Health Care,589,0.084672,0.038646,0.000,0.181,0.399,-2.078,1.58%,5.687,5.158,-0.803,-0.627,1.819,1.834,2.485,2.643,0.331,0.284,0.013,0.006,0.001,0.429,0.001,0.028,0.064,0.025,0.039,0.009,0.063,0.040,0.002,0.021,0.952,0.028,0.105,0.045,0.192,0.811,0.207,0.079,0.835,0.035,0.192,0.240,0.635,0.000,0.025,0.086,0.067,0.060,4.541,0.558,0.396,0.067,0.179,1.640,2.905,91.213,1.491,2.714,2.408,0.693,3.460,10.362,6.481,1.177,0.976,1.937,-0.069,0.093,0.000,0.000
2010-03-31,Industrials,569,0.081743,0.085860,0.000,0.398,0.655,15.858,1.66%,8.851,7.484,12.443,12.478,15.134,15.317,0.794,1.640,0.332,0.273,0.053,0.053,0.054,0.282,0.022,0.057,0.095,0.087,0.129,0.031,0.101,0.086,0.047,0.195,0.784,0.201,0.273,0.216,0.367,0.761,0.434,0.168,0.198,0.060,0.114,0.470,0.501,1.292,0.228,0.076,0.064,0.262,2.492,0.901,0.498,0.174,0.352,2.210,3.598,82.505,0.468,2.096,1.541,1.022,5.111,9.935,6.116,2.115,1.541,4.226,-0.073,0.000,0.000,0.000
2010-03-31,Information Technology,705,0.079077,0.067868,0.000,0.110,0.538,13.860,1.71%,10.215,9.767,4.543,4.360,11.400,11.400,1.810,2.035,0.291,0.354,0.010,0.012,0.000,0.490,0.004,0.027,0.073,0.035,0.060,0.004,0.067,0.038,0.008,0.002,0.996,0.003,0.029,0.074,0.225,0.821,0.332,0.207,0.898,0.054,0.274,0.254,0.772,0.000,0.003,0.083,0.063,0.007,4.624,0.490,0.349,0.021,0.140,0.940,2.444,80.812,1.364,2.522,2.204,0.766,4.257,7.132,5.779,1.193,1.061,2.177,-0.090,0.111,0.000,0.000
2010-03-31,Materials,186,0.099090,0.080072,0.172,0.340,0.569,16.397,1.52%,8.245,7.225,12.690,11.909,14.326,14.596,0.925,1.948,0.323,0.207,0.071,0.070,0.071,0.258,0.028,0.057,0.115,0.064,0.083,0.043,0.102,0.072,0.061,0.300,0.687,0.298,0.341,0.307,0.324,0.655,0.626,0.187,0.174,0.077,0.079,0.623,0.314,1.813,0.406,0.072,0.065,0.362,1.435,1.121,0.542,0.220,0.395,2.511,2.973,82.587,0.519,2.307,1.510,0.867,5.483,8.858,7.140,2.022,1.256,3.766,-0.075,0.002,0.000,0.000
2010-03-31,Utilities,103,0.041503,0.030836,0.616,1.698,0.918,15.810,4.29%,8.729,5.142,14.238,14.287,14.916,15.032,1.161,1.090,0.340,0.089,0.096,0.095,0.071,0.247,0.071,0.152,0.241,0.068,0.083,0.101,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.173,0.415,0.082,0.617,0.105,0.020,0.172,0.103,0.704,0.170,3.998,0.729,0.070,0.059,0.444,1.017,2.320,0.699,0.346,0.565,2.314,2.787,38.057,0.122,1.093,0.840,0.357,11.827,8.068,7.044,1.205,0.579,11.322,-0.050,0.000,0.000,0.000
2010-04-30,Communication Services,51,0.046587,0.001783,0.271,0.304,0.491,10.027,6.51%,6.496,4.757,4.810,9.108,9.849,9.849,1.216,1.992,0.356,0.279,0.013,0.003,0.065,0.584,0.014,0.101,0.257,0.067,0.105,0.019,0.138,0.064,0.042,0.523,0.473,0.483,0.490,0.034,0.282,0.387,0.922,0.141,0.123,0.206,0.035,1.156,0.212,3.083,0.819,0.076,0.076,0.572,1.564,1.435,0.624,0.386,0.556,1.319,1.332,24.890,0.631,1.560,1.452,0.519,18.482,7.935,9.738,1.566,0.688,5.735,-0.105,0.000,0.003,0.000
2010-04-30,Consumer Discretionary,597,0.105181,0.064357,0.000,0.307,0.647,13.379,1.72%,7.857,7.625,14.739,14.625,15.675,15.936,0.772,1.970,0.354,0.409,0.064,0.063,0.062,0.356,0.021,0.057,0.102,0.102,0.149,0.028,0.114,0.095,0.060,0.255,0.737,0.253,0.342,0.239,0.237,0.743,0.526,0.197,0.197,0.061,0.073,0.567,0.516,1.246,0.262,0.079,0.066,0.295,2.335,0.959,0.529,0.211,0.405,1.982,3.020,67.353,0.497,1.791,1.169,1.254,5.242,10.598,10.665,2.570,1.874,5.096,-0.095,0.000,0.014,0.000
2010-04-30,Consumer Staples,171,0.039300,-0.013430,0.150,0.934,0.522,18.414,2.49%,7.861,8.117,14.710,14.820,14.377,14.484,0.860,2.077,0.350,0.398,0.145,0.145,0.114,0.346,0.043,0.076,0.108,0.160,0.252,0.060,0.150,0.165,0.134,0.244,0.729,0.243,0.348,0.337,0.264,0.709,0.541,0.176,0.146,0.073,0.113,0.712,0.456,1.350,0.288,0.075,0.062,0.362,2.046,0.952,0.508,0.232,0.389,5.393,8.003,56.527,0.352,1.825,1.105,1.373,6.474,10.947,11.637,3.055,1.986,7.212,-0.058,0.000,0.006,0.000
2010-04-30,Energy,225,0.086164,0.042072,0.000,0.045,0.708,10.084,1.09%,7.646,6.195,-1.478,-1.399,-0.995,-0.995,2.014,1.643,0.324,0.126,-0.023,-0.023,0.000,0.296,-0.033,0.008,0.153,0.003,0.007,-0.043,0.083,0.003,-0.021,0.281,0.694,0.283,0.313,0.066,0.390,0.063,0.782,0.184,0.097,0.115,0.023,0.646,0.271,1.055,0.331,0.075,0.069,0.408,0.767,0.885,0.521,0.226,0.382,0.091,0.272,52.025,0.365,1.545,1.222,0.361,13.819,6.425,5.134,0.843,0.485,4.163,-0.116,0.000,0.000,0.000
2010-04-30,Financials,773,0.105155,0.020363,0.361,0.424,1.207,12.446,2.28%,10.583,7.373,9.156,9.153,9.942,10.014,1.338,0.973,0.297,0.030,0.024,0.029,0.000,0.403,0.042,0.156,0.189,0.146,0.298,0.057,0.014,0.047,0.030,0.370,0.573,0.367,0.622,0.000,0.266,0.899,0.463,0.011,0.067,0.077,0.297,0.526,0.475,3.526,0.595,0.066,0.055,0.079,56.813,8.494,0.895,0.118,0.894,3.112,4.133,264.095,0.858,2.031,1.818,0.061,5.165,0.059,0.093,0.687,0.393,2.748,-0.009,0.000,0.005,0.234
2010-04-30,Health Care,590,0.063364,-0.023487,0.000,0.159,0.399,-2.385,1.55%,5.662,5.180,-1.023,-0.869,-0.266,-0.266,2.595,2.853,0.331,0.285,0.014,0.005,0.001,0.422,0.000,0.027,0.063,0.025,0.035,0.009,0.062,0.040,0.002,0.021,0.948,0.031,0.107,0.046,0.190,0.804,0.201,0.079,0.822,0.035,0.193,0.235,0.633,0.000,0.026,0.086,0.067,0.062,4.533,0.556,0.396,0.067,0.178,1.621,2.828,91.808,1.488,2.709,2.405,0.693,3.413,10.349,6.481,1.177,0.977,1.927,-0.069,0.093,0.000,0.000
2010-04-30,Industrials,566,0.078652,0.045752,0.000,0.392,0.655,17.206,1.58%,8.943,8.025,13.573,13.678,15.545,15.706,0.870,1.722,0.332,0.270,0.054,0.053,0.054,0.282,0.023,0.057,0.095,0.087,0.129,0.032,0.101,0.087,0.046,0.199,0.781,0.203,0.275,0.216,0.367,0.762,0.436,0.166,0.197,0.061,0.112,0.466,0.494,1.380,0.228,0.076,0.064,0.277,2.481,0.911,0.498,0.177,0.353,2.232,3.557,81.303,0.466,2.097,1.551,1.019,5.164,10.016,6.125,2.107,1.536,4.206,-0.073,0.000,0.000,0.000
2010-04-30,Information Technology,702,0.052153,0.021255,0.000,0.097,0.533,13.918,1.64%,10.292,10.537,4.961,5.679,11.694,11.601,1.894,2.144,0.289,0.356,0.014,0.014,0.000,0.490,0.006,0.027,0.074,0.036,0.062,0.008,0.069,0.039,0.011,0.003,0.994,0.004,0.031,0.072,0.228,0.820,0.332,0.206,0.872,0.054,0.268,0.254,0.770,0.002,0.003,0.085,0.063,0.008,4.615,0.497,0.350,0.023,0.141,0.975,2.582,80.684,1.353,2.507,2.204,0.772,4.272,7.191,5.771,1.213,1.077,2.205,-0.090,0.106,0.000,0.000
2010-04-30,Materials,186,0.068449,0.006309,0.153,0.244,0.568,16.572,1.40%,8.137,7.516,12.532,12.239,14.499,14.771,0.943,2.055,0.325,0.211,0.071,0.070,0.071,0.258,0.028,0.060,0.115,0.068,0.087,0.044,0.105,0.076,0.062,0.300,0.687,0.298,0.341,0.309,0.326,0.654,0.624,0.187,0.171,0.079,0.078,0.628,0.314,1.673,0.402,0.072,0.065,0.367,1.435,1.121,0.542,0.220,0.397,2.511,2.953,82.488,0.511,2.302,1.508,0.868,5.482,8.888,7.127,2.023,1.255,3.777,-0.076,0.002,0.000,0.000
2010-04-30,Utilities,102,0.041688,0.030193,0.616,1.700,0.918,16.405,4.22%,8.738,5.242,14.914,14.914,15.299,15.403,1.199,1.121,0.340,0.089,0.095,0.095,0.071,0.249,0.072,0.153,0.242,0.068,0.083,0.104,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.174,0.421,0.082,0.623,0.105,0.019,0.173,0.100,0.705,0.170,4.002,0.729,0.070,0.059,0.445,1.010,2.332,0.698,0.345,0.565,2.315,2.800,38.057,0.129,1.099,0.843,0.357,11.827,8.068,7.035,1.205,0.579,11.322,-0.050,0.000,0.000,0.000
2010-05-31,Communication Services,51,-0.056760,-0.041714,0.285,0.281,0.490,9.247,7.05%,6.500,4.266,9.765,10.961,11.339,11.433,1.179,1.887,0.349,0.281,0.043,0.025,0.051,0.581,0.019,0.101,0.256,0.077,0.105,0.030,0.152,0.069,0.028,0.493,0.488,0.464,0.491,0.036,0.310,0.415,1.002,0.141,0.130,0.197,0.049,1.138,0.202,2.633,0.733,0.076,0.076,0.588,1.523,1.560,0.629,0.391,0.558,1.320,1.601,22.718,0.670,1.531,1.453,0.514,19.688,8.230,10.375,1.685,0.700,5.763,-0.101,0.000,0.003,0.000
